v1,v2
ham,Ты выйдешь в интернет сегодня вечером
ham,Тогда что-нибудь особенное?
ham,"Я в Сочи, | тебе что-нибудь нужно?"
ham,Сделаю. Хорошего вам дня
ham,"МЫ С СОЖАЛЕНИЕМ СООБЩАЕМ Вам, ЧТО NHS ДОПУСТИЛА ОШИБКУ.Вы НА САМОМ ДЕЛЕ НИКОГДА НЕ РОЖДАЛИСЬ.ПОЖАЛУЙСТА, СООБЩИТЕ О ПРЕКРАЩЕНИИ РАБОТЫ 2-Й МЕСТНОЙ БОЛЬНИЦЫ 2В.Мы ПРИНОСИМ ИЗВИНЕНИЯ За ДОСТАВЛЕННЫЕ НЕУДОБСТВА"
ham,"Люблю это праздничное ощущение понедельника, даже если через час мне нужно идти к стоматологу"
ham,Я на пути в Москву.
spam,"Цель! ""Арсенал"" 4 (Генри, 7 против ""Ливерпуля 2"") Генри забивает простым ударом с 6 метров после передачи Бергкампа, обеспечивая ""Арсеналу"" преимущество в 2 мяча на 78-й минуте."
ham,"У тебя и так взбалмошный родитель. Предполагается, что в обязанности ребенка не входит поддерживать родителя ... Во всяком случае, до тех пор, пока он не достигнет Нужного возраста. Я должен быть там, чтобы поддержать тебя. А теперь я причинил тебе боль. непреднамеренно. Но, тем не менее, больно."
ham,"Сегодня мы взяли с собой хуча на прогулку, и я упал! Шлепок! Поцарапал мне колени и все такое! Надо было остаться дома! Увидимся завтра! "
ham,"Только что высадил их, сейчас вернусь"
spam,"Это уже 2-й раз, когда мы пытаемся связаться с 2 u. Вы выиграли приз в размере 750  руб. 2 подать заявку легко, позвоните 08712101358 прямо СЕЙЧАС! Всего 10 пенсов в минуту. BT-национальный тариф"
ham,"Сижу в отеле и жду, когда все выйдут из моего номера, чтобы я мог принять душ"
ham,"Отвечаю на твой звонок; Ты не видел мой facebook, да?"
ham,"Джи говорит, что ты никогда не отвечаешь на свои сообщения, подтверждаешь / опровергаешь"
ham,"Это так часто слышно, Как ты? Что ты делаешь? Как прошел твой день? Итак, позвольте мне спросить вас кое о чем другом. Ты улыбался сегодня? Если нет, сделайте это сейчас.... Добрый вечер."
ham,"Привет, Дорогая, Зови меня итс ургнт. Я не знаю, в чем твоя проблема. Ты не хочешь работать или если у тебя есть какие-то другие проблемы, по крайней мере, скажи мне. С нетерпением жду вашего ответа."
ham,О да... Мы никогда не отменяем leh... Ха - ха
ham,После нашего вступления мы можем заняться 4 обычными занятиями пилатесом...
ham,"ОК... Дай тебе знать, когда я выйду из своего дома."
ham,"О да, почему смотреть на Америку - это как пытка?"
ham,Хочешь заняться искусством?!
ham,"Просто надеюсь, что он не был слишком взбешен, чтобы помнить, и не ушел к своим сестрам или что-то в этом роде!"
spam,"Есть что нужно для того, чтобы принять участие в ралли WRC в Оз? Вы можете с Энергией Lucozade! Отправьте текстовый файл RALLY на 61200 (25p), см. Пакеты или lucozade.co.uk/wrc И это мог бы быть ты!"
spam,"Привет, девушки из SEXYCHAT ждут, когда ты напишешь им сообщение. Напиши сейчас для отличного ночного общения. отправить STOP, чтобы остановить эту службу"
ham,"Доброе утро, мой мальчик! Как тебе эти аппетитные губки ? Где теперь мои сексуальные булочки ? Чем ты занимаешься ? Ты думаешь обо мне ? Ты жаждешь меня ? Я тебе нужен ?"
ham,Матч начался.Индия  12:00 на 2
ham,"Как только освободитесь, называйте меня Босс"
ham,"Эй, ты хочешь что-нибудь купить:)"
ham,"Эй, детка, как дела ? Ты когда - нибудь задумывался , куда пойдешь на Новый год ?"
ham,К.к.:)поздравляю ..
ham,"Джи хочет знать, где ты, черт возьми, находишься"
ham,"Нет, это было отменено, да, детка! Что ж, это звучит важно, так что я понимаю, моя дорогая, позвони мне позже по этому поводу с любовью, Кейт икс"
ham,"Томэрроу, я хочу предстать перед судом. В &lt;ДЕСЯТИЧНОМ&gt; виде . Итак, вы приходите на автобусную остановку в 9."
ham,"  идти домой, ляо? Попроси папу забрать меня в 6..."
ham,"Боже, ты можешь построить свадебную часовню во фронтиервилле? Почему они получают все самое хорошее?"
ham,"I'm eatin now lor, but goin back to work soon... E mountain deer show huh... I watch b4 liao, very nice..."
ham,Check mail.i have mailed varma and kept copy to you regarding membership.take care.insha allah.
ham,Wrong phone! This phone! I answer this one but assume the other is people i don't well
ham,"Anyway I don't think I can secure anything up here, lemme know if you want me to drive down south and chill"
ham,I'm already back home so no probably not
spam,"Отличная новость! Позвоните по бесплатному телефону 08006344447, чтобы получить гарантированную сумму 1000 рубНАЛИЧНЫМИ или подарок в размере 2000 руб. Поговорите с живым оператором ПРЯМО сейчас!"
spam,"Hi this is Amy, we will be sending you a free phone number in a couple of days, which will give you an access to all the adult parties..."
ham,I am in bus on the way to calicut
ham,Hi its me you are probably having too much fun to get this message but i thought id txt u cos im bored! and james has been farting at me all night
ham,hi baby im sat on the bloody bus at the mo and i wont be home until about 7:30 wanna do somethin later? call me later ortxt back jess xx
spam,"Welcome to Select, an O2 service with added benefits. You can now call our specially trained advisors FREE from your mobile by dialling 402."
ham,I lost 4 pounds since my doc visit last week woot woot! Now I'm gonna celebrate by stuffing my face!
ham,U coming back 4 dinner rite? Dad ask me so i re confirm wif u...
ham,Doing my masters. When will you buy a bb cos i have for sale and how's bf
ham,"Ahhhh...just woken up!had a bad dream about u tho,so i dont like u right now :) i didnt know anything about comedy night but i guess im up for it."
ham,I'm vivek:)i got call from your number.
ham,Why didn't u call on your lunch?
ham,"What i mean was i left too early to check, cos i'm working a 9-6."
ham,I want   12:00  rs da:)do you have it?
ham,"Частичка Твоей улыбки - мое счастье, капля Твоей слезы - моя печаль, частичка Твоего сердца - моя жизнь, сердце, подобное моему, будет заботиться о Тебе, навсегда, как о моем ХОРОШЕМ ДРУГЕ."
ham,"Да, хорошо..."
ham,I want to see your pretty pussy...
spam,Dear Voucher holder Have your next meal on us. Use the following link on your pc 2 enjoy a 2 4 1 dining experiencehttp://www.vouch4me.com/etlp/dining.asp
ham,"A few people are at the game, I'm at the mall with iouri and kaila"
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a  2000 prize GUARANTEED. Call 09058094507 from land line. Claim 3030. Valid 12hrs only
spam,You can donate  2.50 to UNICEF's Asian Tsunami disaster support fund by texting DONATE to 864233.  2.50 will be added to your next bill
ham,Future is not what we planned for tomorrow.....! it is the result of what we do today...! Do the best in present... enjoy the future.
ham,I will cme i want to go to hos 2morow. After that i wil cme. This what i got from her dear what to do. She didnt say any time
ham,We are supposed to meet to discuss abt our trip... Thought xuhui told you? In the afternoon. Thought we can go for lesson after that
ham,Hey come online! Use msn... We are all there
ham,I'm fine. Hope you are good. Do take care.
ham,Oops I was in the shower when u called. Hey a parking garage collapsed at university hospital. See I'm not crazy. Stuff like that DOES happen.
ham,Aiyo u so poor thing... Then u dun wan 2 eat? U bathe already?
ham,Yar... I tot u knew dis would happen long ago already.
ham,You are gorgeous! keep those pix cumming :) thank you!
ham,"Мальчик опоздал домой на 2 часа. Его отец: ""СИЛА ДРУЖБЫ"""""""
ham,JADE ITS PAUL. Y DIDN T U TXT ME? DO U REMEMBER ME FROM BARMED? I WANT 2 TALK 2 U! TXT ME
ham,Spending new years with my brother and his family. Lets plan to meet next week. Are you ready to be spoiled? :)
ham,So what u doing today?
ham,I said its okay. Sorry
ham,Slept? I thinkThis time (  12:00  pm) is not dangerous
ham,Networking job is there.
spam,goldviking (29/M) is inviting you to be his friend. Reply YES-762 or NO-762 See him: www.SMS.ac/u/goldviking STOP? Send STOP FRND to 62468
ham,Dont let studying stress you out. L8r.
ham,That's y u haf 2 keep me busy...
ham,No rushing. I'm not working. I'm in school so if we rush we go hungry.
ham,Which channel:-):-):):-).
ham,So your telling me I coulda been your real Valentine and I wasn't? U never pick me for NOTHING!!
spam,Phony 350 award - Todays Voda numbers ending XXXX are selected to receive a  350 award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app
ham,"We made it! Eta at taunton is 12:30 as planned, hope that  s still okday?! Good to see you! :-xx"
ham,I'm hungry buy smth home...
ham,"HEY KATE HOPE UR OK... WILL GIVE U A BUZ WEDLUNCH. GO OUTSOMEWHERE 4 ADRINK IN TOWN..CUD GO 2WATERSHD 4 A BIT? PPL FROMWRK WILL BTHERE. LOVE PETEXXX.\"
ham,My drive can only be read. I need to write
ham,"Just looked it up and addie goes back Monday, sucks to be her"
ham,Happy new year. Hope you are having a good semester
ham,Esplanade lor. Where else...
ham,Can you talk with me..
ham,"Hmph. Go head, big baller."
ham,Well its not like you actually called someone a punto. That woulda been worse.
ham,"Nope. Since ayo travelled, he has forgotten his guy"
ham,You still around? Looking to pick up later
spam,CDs 4u: Congratulations ur awarded  500 of CD gift vouchers or  125 gift guaranteed & Freeentry 2  100 wkly draw xt MUSIC to 87066 TnCs www.ldew.com1win150ppmx3age16
ham,There's someone here that has a year   12:00  toyota camry like mr olayiwola's own. Mileage is   12:00 k.its clean but i need to know how much will it sell for. If i can raise the dough for it how soon after landing will it sell. Holla back.
ham,Guess which pub im in? Im as happy as a pig in clover or whatever the saying is!
ham,ILL B DOWN SOON
ham,Oh k. . I will come tomorrow
ham,Go fool dont cheat others ok
ham,"My mobile number.pls sms ur mail id.convey regards to achan,amma.Rakhesh.Qatar"
ham,"By the way, 'rencontre' is to meet again. Mountains dont...."
spam,You have WON a guaranteed  1000 cash or a  2000 prize. To claim yr prize call our customer service representative on 08714712412 between 10am-7pm Cost 10p
ham,U attend ur driving lesson how many times a wk n which day?
ham,"Uncle G, just checking up on you. Do have a rewarding month"
ham,Hello boytoy ! Geeee ... I'm missing you today. I like to send you a tm and remind you I'm thinking of you ... And you are loved ... *loving kiss*
ham,I think the other two still need to get cash but we can def be ready by 9
ham,Hey gals...U all wanna meet 4 dinner at n te?
spam,Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs
ham,Babe ! What are you doing ? Where are you ? Who are you talking to ? Do you think of me ? Are you being a good boy? Are you missing me? Do you love me ?
ham,Great! How is the office today?
ham,"It's cool, we can last a little while. Getting more any time soon?"
ham,:-( sad puppy noise
ham,Yes its possible but dint try. Pls dont tell to any one k
ham,Anyway holla at me whenever you're around because I need an excuse to go creep on people in sarasota
ham,Where you. What happen
ham,I was gonna ask you lol but i think its at 7
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/meg. CC: 08718720201 HG/Suite342/2lands Row/W1j6HL
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08715203685 Identifier Code:4xx26 Expires 13/10/04
ham,Go chase after her and run her over while she's crossing the street
spam,I'd like to tell you my deepest darkest fantasies. Call me 09094646631 just 60p/min. To stop texts call 08712460324 (nat rate)
ham,Есть ли в ближайшую пятницу отпуск в понгал?получаете ли вы какие-нибудь новости со своего рабочего места?
ham,Hey... Very inconvenient for your sis a not huh?
ham,Ok i vl..do u know i got adsense approved..
ham,"* Was really good to see you the other day dudette, been missing you!"
ham,I want to go to perumbavoor
ham,How many times i told in the stage all use to laugh. You not listen aha.
spam,"Вы не поверите, но это правда. Это Невероятные тексты! Ответьте G сейчас, чтобы узнать по-настоящему удивительные вещи, которые сведут вас с ума. Из O2FWD только 18p / txt"
ham,(You didn't hear it from me)
ham,Thanks for being there for me just to talk to on saturday. You are very dear to me. I cherish having you as a brother and role model.
ham,Pls clarify back if an open return ticket that i have can be preponed for me to go back to kerala.
spam,Natalie (20/F) is inviting you to be her friend. Reply YES-165 or NO-165 See her: www.SMS.ac/u/natalie2k9 STOP? Send STOP FRND to 62468
ham,She ran off with a younger man. we will make pretty babies together :)
spam,Jamster! To get your free wallpaper text HEART to 88888 now! T&C apply. 16 only. Need Help? Call 08701213186.
ham,O ic lol. Should play 9 doors sometime yo
ham,"Dunno, my dad said he coming home 2 bring us out 4 lunch. Yup i go w u lor. I call u when i reach school lor..."
ham,"Мы отправили JD для обслуживания клиентов cum Accounts Executive на ваш почтовый идентификатор, для получения подробной информации свяжитесь с нами"
ham,Desires- u going to doctor 4 liver. And get a bit stylish. Get ur hair managed. Thats it.
ham,Hmmm.still we dont have opener?
ham,Yeah so basically any time next week you can get away from your mom &amp; get up before 3
ham,"Эдисон справедливо сказал: ""Дурак может задать больше вопросов, чем мудрый человек может ответить"" Теперь вы знаете, почему все мы теряем дар речи во время"
ham,I will vote for wherever my heart guides me
ham,With my sis lor... We juz watched italian job.
ham,"Tick, tick, tick .... Where are you ? I could die of loneliness you know ! *pouts* *stomps feet* I need you ..."
ham,Lmao you know me so well...
spam,"Двойные минуты, двойной текст и ценовая линия 1/2 на последних мобильных телефонах Orange Bluetooth. Позвоните в MobileUpd8, чтобы узнать о самых последних предложениях. 08000839402 или вызов2optout/LF56"
ham,Am on a train back from northampton so i'm afraid not! I'm staying skyving off today ho ho! Will be around wednesday though. Do you fancy the comedy club this week by the way?
ham,Goodnight da thangam I really miss u dear.
ham,Hey next sun 1030 there's a basic yoga course... at bugis... We can go for that... Pilates intro next sat.... Tell me what time you r free
ham,"Geeeee ... Your internet is really bad today, eh ?"
spam,Free video camera phones with Half Price line rental for 12 mths and 500 cross ntwk mins 100 txts. Call MobileUpd8 08001950382 or Call2OptOut/674
spam,"Алкогольные напитки по низкой цене"
ham,I think i am disturbing her da
ham,"Sorry, I'll call you  later. I am in meeting sir."
ham,Havent stuck at orchard in my dad's car. Going 4 dinner now. U leh? So r they free tonight?
ham,Ok i also wan 2 watch e 9 pm show...
ham,I dunno lei... Like dun haf...
ham,But your brother transfered only   12:00  +   12:00 . Pa.
ham,I calls you later. Afternoon onwords mtnl service get problem in south mumbai. I can hear you but you cann't listen me.
spam,83039 62735= 450 UK Break AccommodationVouchers terms & conditions apply. 2 claim you mustprovide your claim number which is 15541
ham,Talk to g and x about that
ham,Hai dear friends... This is my new &amp; present number..:) By Rajitha Raj (Ranju)
spam,5p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.
ham,As in different styles?
spam,WIN a  200 Shopping spree every WEEK Starting NOW. 2 play text STORE to 88039. SkilGme. TsCs08714740323 1Winawk! age16  1.50perweeksub.
ham,Gud ni8 dear..slp well..take care..swt dreams..Muah..
ham,"Я хочу отправить  12:00 сообщения сегодня. Это да. Прости, если я причиняю боль"
spam,"This is the 2nd attempt to contract U, you have won this weeks top prize of either  1000 cash or  200 prize. Just call 09066361921"
ham,"Well, i'm glad you didn't find it totally disagreeable ... Lol"
ham,"Guy, no flash me now. If you go call me, call me. How madam. Take care oh."
spam,Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705.
ham,Mark works tomorrow. He gets out at 5. His work is by your house so he can meet u afterwards.
ham,"Yeah, give me a call if you've got a minute"
ham,Amazing : If you rearrange these letters it gives the same meaning... Dormitory = Dirty room Astronomer = Moon starer The eyes = They see Election results = Lies lets recount Mother-in-law = Woman Hitler Eleven plus two =Twelve plus one Its Amazing... !:-)
ham,Aiya we discuss later lar... Pick  _ up at 4 is it?
ham,Hey happy birthday...
ham,Sorry i missed your call. Can you please call back.
ham,Omg if its not one thing its another. My cat has worms :/ when does this bad day end?
ham,"Good morning, im suffering from fever and dysentry ..will not be able to come to office today."
ham,I wont do anything de.
ham,What type of stuff do you sing?
ham,"St andre, virgil's cream"
ham,"Нет, нет. Я проверю все комнаты перед мероприятиями"
ham,"My fri ah... Okie lor,goin 4 my drivin den go shoppin after tt..."
ham,Gokila is talking with you aha:)
ham,"Hi Shanil,Rakhesh here.thanks,i have exchanged the uncut diamond stuff.leaving back. Excellent service by Dino and Prem."
ham,K.k.this month kotees birthday know?
ham,But i'm really really broke oh. No amount is too small even   12:00
ham,Sorry about that this is my mates phone and i didnt write it love Kate
spam,"TheMob>Hit the link to get a premium Pink Panther game, the new no. 1 from Sugababes, a crazy Zebra animation or a badass Hoody wallpaper-all 4 FREE!"
ham,"Ah, well that confuses things, doesnt it? I thought was friends with now. Maybe i did the wrong thing but i already sort of invited -tho he may not come cos of money."
ham,"Aight, call me once you're close"
ham,Nope thats fine. I might have a nap tho!
spam,This msg is for your mobile content order It has been resent as previous attempt failed due to network error Queries to customersqueries@netvision.uk.com
ham,In other news after hassling me to get him weed for a week andres has no money. HAUGHAIGHGTUJHYGUJ
ham,"Мальчик любил девушку. Он настаивал, чтобы она не возражала. Он gv lv lttrs, Bt ее друзья бросили thm. Снова d boy решил 2 приблизиться к d gal , на этот раз грузовик мчался в сторону d gal. Wn это было примерно о том, как 2 ударили d девушку, d парень бежал изо всех сил и спас ее. Она спросила: ""Почему ты так быстро бегаешь?"", мальчик ответил: ""Буст - это секрет моей энергии"", и тут же девочка крикнула: ""Наша энергия"", и ты жил счастливо, выпив 2 стакана бустера, всю мораль этой истории: - У меня есть бесплатные таблетки: D;): gud ni8"""
ham,"Я не хочу срочно покупать машину BMW .. это очень срочно.но не хватает лаков  12:00.нет источника, чтобы вызвать недовольство.  12:00 лакс .. это моя проблема"
ham,Ding me on ya break fassyole! Blacko from londn
ham,I REALLY NEED 2 KISS U I MISS U MY BABY FROM UR BABY 4EVA
ham,"Признак зрелости - это не когда мы начинаем говорить громкие вещи.. Но на самом деле это происходит, когда мы начинаем понимать мелочи... *ПРИЯТНОГО ВЕЧЕРА* BSLVYL"
ham,Oh you got many responsibilities.
spam,You have 1 new message. Please call 08715205273
ham,I've reached sch already...
spam,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update VCo FREE on 08002986906
ham,U definitely need a module from e humanities dis sem izzit? U wan 2 take other modules 1st?
ham,Argh why the fuck is nobody in town ;_;
spam,"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply."
ham,Thanks. Fills me with complete calm and reassurance!
ham,Aslamalaikkum....insha allah tohar beeen muht albi mufti mahfuuz...meaning same here....
ham,Are you driving or training?
ham,Lol for real. She told my dad I have cancer
spam,PRIVATE! Your 2003 Account Statement for 078
ham,"Oops I did have it,   12:00 ?"
ham,"\NOT ENUFCREDEIT TOCALL.SHALL ILEAVE UNI AT 6 +GET A BUS TO YOR HOUSE?\"""""
ham,"Hi Chikku, send some nice msgs"
ham,"He is impossible to argue with and he always treats me like his sub, like he never released me ... Which he did and I will remind him of that if necessary"
ham,"After my work ah... Den 6 plus lor... U workin oso rite... Den go orchard lor, no other place to go liao..."
ham,"To the wonderful Okors, have a great month. We cherish you guys and wish you well each day. MojiBiola"
ham,Cuz ibored. And don wanna study
ham,Wot about on wed nite I am 3 then but only til 9!
ham,"Роза для красного, красное для крови, кровь для сердца, сердце для тебя. Но ты для меня.... Отправь это всем своим друзьям.. Включая меня.. Если я тебе нравлюсь.. Если ты вернешься, 1-ты беден в отношениях! 2-тебе нужен кто-то 1, чтобы поддержать 3-тебя и 2 многих 4-кто-то 1 любит тебя 5 +- кто-то 1 молит бога жениться на тебе.:-) попробуй...."
ham,Any way where are you and what doing.
ham,That sucks. I'll go over so u can do my hair. You'll do it free right?
ham,it's still not working. And this time i also tried adding zeros. That was the savings. The checking is   12:00
ham,"Hmm... Dunno leh, mayb a bag 4 goigng out dat is not too small. Or jus anything except perfume, smth dat i can keep."
ham,Sday only joined.so training we started today:)
ham,Sorry * was at the grocers.
ham,There are some nice pubs near here or there is Frankie n Bennys near the warner cinema?
spam,"YOU VE WON! Your 4* Costa Del Sol Holiday or  5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost 1.50/pm, Max10mins"
ham,Yup... I havent been there before... You want to go for the yoga? I can call up to book
ham,Oh shut it. Omg yesterday I had a dream that I had 2 kids both boys. I was so pissed. Not only about the kids but them being boys. I even told mark in my dream that he was changing diapers cause I'm not getting owed in the face.
ham,Yeah I imagine he would be really gentle. Unlike the other docs who treat their patients like turkeys.
spam,"БЕСПЛАТНО на 1-ю неделю! No1 Nokia tone 4 ur mobile каждую неделю просто отправляйте текстовые сообщения NOKIA на номер 8077, получайте txting и рассказывайте своим друзьям. www.getzed.co.uk POBox 36504 W45WQ 16+ норм150p/тон"
ham,Now that you have started dont stop. Just pray for more good ideas and anything i see that can help you guys i.ll forward you a link.
ham,Hi darlin im on helens fone im gonna b up the princes 2 nite please come up tb love Kate
ham,I'm in office now da:)where are you?
ham,Aiyar u so poor thing... I give u my support k... Jia you! I'll think of u...
ham,Oh unintentionally not bad timing. Great. Fingers  the trains play along! Will give fifteen min warning.
spam,Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth  33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk
ham,K..then come wenever u lik to come and also tel vikky to come by getting free time..:-)
ham,Pls call me da. What happen.
ham,"Happy new year to u and ur family...may this new year bring happiness , stability and tranquility to ur vibrant colourful life:):)"
ham,No problem with the renewal. I.ll do it right away but i dont know his details.
ham,Idk. I'm sitting here in a stop and shop parking lot right now bawling my eyes out because i feel like i'm a failure in everything. Nobody wants me and now i feel like i'm failing you.
ham,Haven't left yet so probably gonna be here til dinner
ham,"Like   12:00 , same question"
ham,MY NEW YEARS EVE WAS OK. I WENT TO A PARTY WITH MY BOYFRIEND. WHO IS THIS SI THEN HEY
ham,"Sir, I need Velusamy sir's date of birth and company bank facilities details."
ham,K k:) sms chat with me.
ham,I will come with karnan car. Please wait till 6pm will directly goto doctor.
ham,No but the bluray player can
ham,Ok... Then r we meeting later?
ham,Lol no. I just need to cash in my nitros. Hurry come on before I crash out!
ham,Just send a text. We'll skype later.
ham,Ok leave no need to ask
spam,"Поздравляю 2 мобильных 3G-видеофона с вашими. звоните 09063458130 прямо сейчас! видеочат с друзьями, играйте в java-игры, загружайте полифоническую музыку, noline rentl. bx420. ip4. 5we. 150p"
ham,  still got lessons?    in sch?
ham,Y she dun believe leh? I tot i told her it's true already. I thk she muz c us tog then she believe.
ham,Oh did you charge camera
ham,"I  ve got some salt, you can rub it in my open wounds if you like!"
ham,Now i'm going for lunch.
ham,I'm in school now n i'll be in da lab doing some stuff give me a call when  _ r done.
ham,Oh k. . I will come tomorrow
ham,"Aight, text me tonight and we'll see what's up"
ham,U 2.
ham,Water logging in desert. Geoenvironmental implications.
ham,"Раджи ... пожалуйста, сделай мне одолжение. Пожалуйста, передайте Нимье мои пожелания с Днем рождения. Пожалуйста. Сегодня у нее день рождения."
ham,"Компания очень хорошая, обстановка потрясающая, а еда действительно вкусная :)"
ham,"Very strange.  and  are watching the 2nd one now but i'm in bed. Sweet dreams, miss u "
spam,SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now!
ham,"Hi hope u r both ok, he said he would text and he hasn't, have u seen him, let me down gently please "
ham,"Babe! I fucking love you too !! You know? Fuck it was so good to hear your voice. I so need that. I crave it. I can't get enough. I adore you, Ahmad *kisses*"
ham,K sure am in my relatives home. Sms me de. Pls:-)
ham,Я отправил их. Тебе нравится?
ham,"Fuuuuck I need to stop sleepin, sup"
ham,I'm in town now so i'll jus take mrt down later.
ham,I just cooked a rather nice salmon a la you
ham,I uploaded mine to Facebook
ham,WHAT TIME U WRKIN?
ham,Оки
spam,ree entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+
spam,Our records indicate u maybe entitled to 5000 pounds in compensation for the Accident you had. To claim 4 free reply with CLAIM to this msg. 2 stop txt STOP
ham,"Извини, я позвоню позже"
ham,Oh oh... Den muz change plan liao... Go back have to yan jiu again...
ham,"It's wylie, you in tampa or sarasota?"
ham,Ok... Take ur time n enjoy ur dinner...
ham,Darren was saying dat if u meeting da ge den we dun meet 4 dinner. Cos later u leave xy will feel awkward. Den u meet him 4 lunch lor.
spam,"Spook up your mob with a Halloween collection of a logo & pic message plus a free eerie tone, txt CARD SPOOK to 8007 zed 08701417012150p per logo/pic "
ham,I like cheap! But i  m happy to splash out on the wine if it makes you feel better..
ham,She.s fine. I have had difficulties with her phone. It works with mine. Can you pls send her another friend request.
ham,Ugh my leg hurts. Musta overdid it on mon.
spam,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access! www.telediscount.co.uk
spam,"YOU VE WON! Your 4* Costa Del Sol Holiday or  5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost 1.50/pm, Max10mins"
ham,WOT STUDENT DISCOUNT CAN U GET ON BOOKS?
ham,Я в порядке ... абсолютно в порядке
ham,How come she can get it? Should b quite diff to guess rite...
spam,Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTxt
ham,Я доберусь до твоего дома через  12:00 минут
ham,"Babe, I'm answering you, can't you see me ? Maybe you'd better reboot YM ... I got the photo ... It's great !"
ham,Hi.what you think about match?
ham,"I know you are thinkin malaria. But relax, children cant handle malaria. She would have been worse and its gastroenteritis. If she takes enough to replace her loss her temp will reduce. And if you give her malaria meds now she will just vomit. Its a self limiting illness she has which means in a few days it will completely stop"
ham,Dai i downloaded but there is only exe file which i can only run that exe after installing.
ham,It is only yesterday true true.
ham,K.k.how is your business now?
spam,"Товары для детей оптом и в розницу"
spam,"Наталья (25 лет) приглашает вас стать ее другом. Ответьте ""ДА""-440 или ""НЕТ""-440 См. Ее: www.SMS.ac/u/nat27081980 ПРЕКРАТИТЬ? Отправьте STOP FRND на номер 62468"
ham,Я храню десять рупий на своей полке:) купите два яйца.
ham,Я опаздываю. Я буду там в
ham,Well thats nice. Too bad i cant eat it
ham,I accidentally brought em home in the box
ham,Pls she needs to dat slowly or she will vomit more.
ham,I have to take exam with in march 3
ham,"Jane babes not goin 2 wrk, feel ill after lst nite. Foned in already cover 4 me chuck.:-)"
ham,5 nights...We nt staying at port step liao...Too ex
ham,If I die I want u to have all my stuffs.
ham,"\OH FUCK. JUSWOKE UP IN A BED ON A BOATIN THE DOCKS. SLEPT WID 25 YEAR OLD. SPINOUT! GIV U DA GOSSIP L8R. XXX\"""""
ham,"Улыбайся от удовольствия, Улыбайся от боли, Улыбайся, когда неприятности льются дождем, Улыбайся, когда sum1 Причиняет тебе боль, Улыбайся, потому что КОМУ-ТО все еще нравится видеть тебя Улыбающимся!!"
ham,Прабха .. я сорида.. действительно.. от всего сердца я сорил
ham,I re-met alex nichols from middle school and it turns out he's dealing!
spam,PRIVATE! Your 2003 Account Statement for <fone no> shows 800 un-redeemed S. I. M. points. Call 08715203656 Identifier Code: 42049 Expires 26/10/04
ham,It means u could not keep ur words.
ham,"Nope, I'm still in the market"
ham,I realise you are a busy guy and i'm trying not to be a bother. I have to get some exams outta the way and then try the cars. Do have a gr8 day
spam,"ВЫ ВЫБРАНЫ ДЛЯ ПОЛУЧЕНИЯ НАГРАДЫ В РАЗМЕРЕ 350 руб! Пожалуйста, позвоните по номеру заявки 09066364311, чтобы забрать свою награду, которую вы выбрали для получения как ценный мобильный клиент."
ham,Hey what how about your project. Started aha da.
ham,Ok cool. See ya then.
ham,Am on the uworld site. Am i buying the qbank only or am i buying it with the self assessment also?
ham,"Ваше мнение обо мне? 1. Старше 2. Джада 3. Кусрути 4. Привлекательная 5. Молчаливый 6. Spl-персонаж 7. Не созрел 8. Стильный 9. Простой ответ, пожалуйста.."
spam,Someonone you know is trying to contact you via our dating service! To find out who it could be call from your mobile or landline 09064015307 BOX334SK38ch
ham,Yeah I can still give you a ride
ham,"Jay wants to work out first, how's 4 sound?"
ham,"Gud gud..k, chikku tke care.. sleep well gud nyt"
ham,Это часть проверки IQ
ham,Hmm thinking lor...
